k,var,err,acc
10,0.027124912062617322,0.9806514752632035,0.3204244031830239
25,0.04688884981524792,0.9706342650157248,0.4087533156498674
50,0.06916754424138774,0.9592212615779093,0.47984084880636607
100,0.10374404355000953,0.9412357117691357,0.4761273209549072
200,0.15694258890655294,0.912872756403292,0.470026525198939
