weight,var,err,acc
raw,0.994896751094822,0.07142403135609568,0.30689655172413793
tfidf,0.11237353987038406,0.9370010812306355,0.4453580901856764
logE,0.10374404355000953,0.9412357117691357,0.4761273209549072
